strategy,avg_latency,p95_latency,p99_latency,success_rate,npu_load,rho_critical_theory,rho_critical_observed,total_energy,throughput,avg_wait_time,total_tasks,lambda
RandomScheduler,40.62487968275055,91.41858811738501,123.03049095774762,0.9866220735785953,0.0842892483427357,0.8577923851528205,0.0,573.7703037781098,5.98,3.083218135253907,1196,6
RoundRobinScheduler,37.86001016024851,89.43590904855014,93.65783357997016,1.0,0.0841885635300289,0.8545621006651132,0.0,575.2316442105823,5.98,0.17716366154194374,1196,6
LoadBalanceScheduler,34.29845826092774,83.89466298482074,87.29779709091329,1.0,0.0034297779623638515,0.833189513586685,0.0,539.806567460286,5.98,0.10395671533324989,1196,6
FastestResponseScheduler,55.213117403174735,142.18851834284862,191.97799319349744,0.9548494983277592,0.2534878526111294,0.8539902053136391,0.0,571.5346551488982,5.98,9.044130794016219,1196,6
E2MACSScheduler,36.54980329917006,91.45671686601098,102.32661552319362,1.0,0.11585505969016907,0.95,0.0,570.8840932640388,5.98,0.7255339259652455,1196,6
OracleScheduler,37.05941285531293,90.55038002721005,93.9652233689607,1.0,0.09331234871602011,0.9405485057837583,0.0,599.1054996124576,5.98,0.12402968613136692,1196,6
RandomScheduler,42.18242215894041,91.51755495316394,143.6574835832939,0.9874292897548711,0.12132263164741444,0.8520757481354053,0.0,616.6002456667557,7.955,3.3275440534176934,1591,8
RoundRobinScheduler,38.70090047044155,90.02961556788236,94.85382753473313,1.0,0.11342598751506937,0.8547271642650478,0.0,616.3077046504304,7.955,0.3888407459546359,1591,8
LoadBalanceScheduler,35.141105705564605,85.30937038450048,89.1418252043934,1.0,0.011207394380346276,0.8553537380274376,0.0,574.164343997806,7.955,0.11475706586906197,1591,8
FastestResponseScheduler,61.98406746668506,162.04100959391354,227.3517444343753,0.9327467001885607,0.34173253721617974,0.8545661872597095,0.0,610.3623163751217,7.955,12.290022825519847,1591,8
E2MACSScheduler,38.239092473167325,92.91083972263436,135.91941192879196,1.0,0.174100446225469,0.9315230949894908,0.0,609.5205509028941,7.955,1.2542917189703342,1591,8
