strategy,avg_latency,p95_latency,p99_latency,success_rate,npu_load,rho_critical_theory,rho_critical_observed,total_energy,throughput,avg_wait_time,total_tasks,lambda,distribution
OracleScheduler,68.18671856455711,174.06665153678452,271.58855260994153,0.9838274932614556,0.564485511819204,0.9448542363952691,0.0,1194.6786549272092,22.26,4.2244889194851245,4452,22,heavy_detect
RandomScheduler,88.91687273965756,209.38689455189686,317.37947926834937,0.9296907216494845,0.49229799112174105,0.8898833718464974,0.49229799112174105,1168.290157646829,24.25,17.68017922352839,4850,24,heavy_detect
RoundRobinScheduler,64.8426928344694,127.63781193863511,166.94142598850078,0.983298969072165,0.48710702601214734,0.8873817782963999,0.0,1156.6523080942375,24.25,7.498119406197266,4850,24,heavy_detect
LoadBalanceScheduler,61.23748123023271,122.19814084043678,154.55539345321918,0.9849484536082475,0.26677151612521954,0.8902562072988389,0.0,1115.6215662866339,24.25,6.343898246759757,4850,24,heavy_detect
FastestResponseScheduler,46752.81850772562,89769.68014057422,93096.07674220433,0.0016494845360824743,1.4710010961432758,0.8881027325845045,1.4710010961432758,1324.1065575581404,24.25,39.888224307660096,4850,24,heavy_detect
E2MACSScheduler,61.94646784376697,114.02335209958922,155.8083794431035,0.9884536082474227,0.27976279493932826,0.8579634990584759,0.0,1148.941192441815,24.25,5.154886967276964,4850,24,heavy_detect
OracleScheduler,69.35782111606431,179.11313892562006,271.3299153930666,0.9810309278350515,0.6046480883706434,0.9412367299251917,0.0,1253.1940477161334,24.25,4.642323511914899,4850,24,heavy_detect
RandomScheduler,92.14327047558331,216.6153338801351,308.6031079912854,0.918456567192549,0.5140984529257927,0.8872184859432247,0.5140984529257927,1226.7855223970137,26.305,18.436082499755305,5261,26,heavy_detect
RoundRobinScheduler,66.59540734388905,133.4524470288727,173.2865004702546,0.9781410378255084,0.5255197141771422,0.8867590754390314,0.0,1214.8949636633208,26.305,8.70848056583936,5261,26,heavy_detect
LoadBalanceScheduler,63.040249563791065,133.8195615290978,160.5628364049888,0.9804219730089336,0.3102338090790162,0.887363250470352,0.0,1177.106217114423,26.305,7.7724381890109395,5261,26,heavy_detect
FastestResponseScheduler,59267.712061306134,112807.07751755307,117095.78981931006,0.001520623455616803,1.593042469453475,0.8879781150658941,1.593042469453475,1433.8992406005332,26.305,40.27652104028598,5261,26,heavy_detect
E2MACSScheduler,63.72538612244542,120.12736096860976,160.3018368117631,0.984793765443832,0.3196986098508086,0.8418403343299529,0.0,1213.295620581544,26.305,6.233086572669725,5261,26,heavy_detect
OracleScheduler,71.96439859919296,186.6579268923232,284.85571607619937,0.9770005702337958,0.6554285555212779,0.9395637295306541,0.6554285555212779,1312.775273731671,26.305,5.197086234018627,5261,26,heavy_detect
RandomScheduler,102.00164983838717,259.23424322817823,409.67090857139897,0.8852198481370298,0.5670257466244183,0.8888703615470278,0.5670257466244183,1273.768190155853,28.315,20.239494687606005,5663,28,heavy_detect
RoundRobinScheduler,69.28146956926092,141.94343201019274,192.321404749071,0.9728059332509271,0.5664474861848994,0.8865071246836878,0.0,1271.97944427301,28.315,10.493203405197212,5663,28,heavy_detect
LoadBalanceScheduler,65.20026737608656,141.68838689532066,169.5570633885328,0.9759844605332862,0.35963333373811446,0.8907392666251843,0.0,1231.7019814520131,28.315,9.32254916293714,5663,28,heavy_detect
FastestResponseScheduler,71476.34764326275,135833.88334941547,141304.29816351697,0.0010595090941197245,1.7139365938526945,0.8878357281935366,1.7139365938526945,1542.6693854264986,28.315,40.36540800096244,5663,28,heavy_detect
E2MACSScheduler,66.25731189811853,126.42794275236183,165.5347945604695,0.980575666607805,0.38453484436908747,0.838500474072086,0.0,1283.0740020078226,28.315,7.494508409015268,5663,28,heavy_detect
