strategy,avg_latency,p95_latency,p99_latency,success_rate,npu_load,rho_critical_theory,rho_critical_observed,total_energy,throughput,avg_wait_time,total_tasks,lambda,distribution
LoadBalanceScheduler,22.030537401211397,82.91829481978097,86.62185456747443,0.9993714644877436,0.002808791862482667,0.8342270694969207,0.0,527.9802364768874,7.955,0.04615664099781004,1591,8,heavy_voice
FastestResponseScheduler,40.51289390374559,108.47943723116771,162.5926216883982,0.9396605908233815,0.2407241950958793,0.8247895967895951,0.0,565.9186458421888,7.955,7.743230753258564,1591,8,heavy_voice
E2MACSScheduler,23.110941199405275,88.21737134166341,94.26562139350592,1.0,0.07558695102159443,0.8961228468094153,0.0,525.5220573850286,7.955,0.35470917311588757,1591,8,heavy_voice
OracleScheduler,23.44964752172064,88.89941250977884,93.75174506356669,1.0,0.07407860563012762,0.9421950128132938,0.0,575.0156209187929,7.955,0.0522305108403707,1591,8,heavy_voice
RandomScheduler,28.390871744702697,88.7570894008121,111.26786218636992,0.9814070351758793,0.10599837760446532,0.8257707539356463,0.0,590.0443316687573,9.95,2.8291315416628886,1990,10,heavy_voice
RoundRobinScheduler,25.521992537108964,86.84172552215087,92.65063024803347,0.9984924623115577,0.09901930582912595,0.8244116483042323,0.0,587.5531434982346,9.95,0.35814988276837606,1990,10,heavy_voice
LoadBalanceScheduler,21.741240307803857,82.19476252427924,86.64008071249411,0.9994974874371859,0.005869498334786691,0.8265675840331339,0.0,545.7237260372987,9.95,0.05695810648253025,1990,10,heavy_voice
FastestResponseScheduler,43.63802721499022,128.3800478686715,169.90608192800886,0.921105527638191,0.29692674974333116,0.8249834874522485,0.0,590.6477698870659,9.95,9.324712739185264,1990,10,heavy_voice
E2MACSScheduler,25.046816195191845,93.84181247612986,163.49182480687224,1.0,0.17825678737313877,0.95,0.0,553.5801852927772,9.95,2.0638087889481693,1990,10,heavy_voice
OracleScheduler,23.09366290416215,88.41121056391756,93.58501959064623,1.0,0.08856007903030166,0.9369879662340669,0.0,601.9607259700558,9.95,0.05946303780852111,1990,10,heavy_voice
RandomScheduler,28.39343172415793,88.9527104999658,109.83147531351445,0.9738372093023255,0.12130296633350733,0.8248199114008583,0.0,615.1907120084903,12.04,3.4561834153235003,2408,12,heavy_voice
RoundRobinScheduler,25.18547962245087,86.94265929880976,93.00606162254647,0.9975083056478405,0.11562467299198156,0.8230206871510923,0.0,610.5610197952582,12.04,0.5247504333664605,2408,12,heavy_voice
LoadBalanceScheduler,21.46375850620732,82.83511856949417,87.56265579593259,0.9995847176079734,0.010550346717838445,0.8215354288749006,0.0,565.2603840588536,12.04,0.10609736000873277,2408,12,heavy_voice
FastestResponseScheduler,46.15910865540379,137.48944286637123,190.1837443754011,0.8978405315614618,0.3531240385590304,0.823832950144891,0.0,615.3745769659744,12.04,11.015927749306345,2408,12,heavy_voice
E2MACSScheduler,22.433795818385946,88.67862316808016,95.33977976205821,1.0,0.1128994201138865,0.9056867385216318,0.0,557.2064219322074,12.04,0.5282729860888498,2408,12,heavy_voice
OracleScheduler,22.482430640964306,88.19904313462149,92.87848569146334,1.0,0.10676590988586294,0.9367266214285275,0.0,625.720939891068,12.04,0.07428403148359401,2408,12,heavy_voice
RandomScheduler,29.009455435666823,89.73368107838907,126.18606274525516,0.9753571428571428,0.13591862572552846,0.8245366372315669,0.0,640.1323165149411,14.0,3.831186212381545,2800,14,heavy_voice
RoundRobinScheduler,25.50060034197712,87.28347929330089,93.64913597204283,0.9967857142857143,0.13404891786958728,0.8224064005386879,0.0,635.9063195865905,14.0,0.7665839758961144,2800,14,heavy_voice
LoadBalanceScheduler,21.702327262823957,83.44451669047146,88.21570192642994,0.9992857142857143,0.015816589702588726,0.8261100849256096,0.0,586.0228856749274,14.0,0.15559675401391615,2800,14,heavy_voice
